address,balance
0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce,120000000000000000000000
0x595faf77e533a5cd30ab5859c9a0116de8bad8db,120000000000000000000000
0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,120000000000000000000000
0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,120000000000000000000000
0xf481b7fab9f5d0e74f21ae595a749634fb053619,119858427836948192703770
0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,119418373576084138579259
0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,119060196535359097527091
0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,117773675318561639634312
0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3,116255615425542873536172
0x4ce6b9b77a2e3341c4f94c751cd5c3b2424eb4b2,115204163023084000000000
0x376c3e5547c68bc26240d8dcc6729fff665a4448,114939000010007777777777
0x2125f3189cd5d650d6142b222f20083efc2d05f2,111919209740113000000911
0x1b8766d041567eed306940c587e21c06ab968663,111377314161500000000000
0xd9858d573a26bca124282afa21ca4f4a06eff98a,110179669481490000000000
0x8ae880b5d35305da48b63ce3e52b22d17859f293,107708242178300000000000
0x5a710a3cdf2af218740384c52a10852d8870626a,107141167752610000000000
0xf443864ba5d5361bbc54298551067194f980a635,105698826604438271235400
0x84bf16e7675cee22d0e0302913ccf58b45333ddf,105698826604438271235400
0x368d43c23843ca9b49dc861d80251bda6a090367,105698826604438271235400
0xb4f4317b7885de16305d1303570879c21f378255,105698826604438271235400
0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,105698826604438271235400
0x79f67f689b9925710d4dda2a39d680e9cea61c81,105698826604438271235400
0x47029dc4f3922706bf670d335c45550cff4f6a35,104861533337497630148471
0xbed96d0840201011df1467379a5d311e0040073a,103744759505880000000000
0xdb89045c811549f7eb925ec16f7d0cd7166556b3,102590583044586000000911
0x0d0707963952f2fba59dd06f2b425ace40b492fe,102193680218815989191128
0xbf4ed7b27f1d666546e30d74d50d173d20bca754,102080165439900855569214
0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc,102002994671997000000000
0x76ae5632ae65d95dd704218920f7d8ac4daef9cc,101388617613615000000000
0x5657e633be5912c6bab132315609b51aadd01f95,101051806391126015577880
0x9e927c02c9eadae63f5efb0dd818943c7262fb8e,101042133916489412146000
0x67f706db3bbd04a250eed049386c5d09c4ee31f0,100784247215122239311867
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,100116865923457160975784
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,100019760463680861530138
0x40f50e8352d64af0ddda6ad6c94b5774884687c3,100000000020000000000000
0x2d89034424db22c9c555f14692a181b22b17e42c,100000000010000000000911
0x539c92186f7c6cc4cbf443f26ef84c595babbca1,100000000000000000000000
0x469f1ea76d13d4b4ea20a233eac8ce6ac74d5087,100000000000000000000000
0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f,100000000000000000000000
0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f,100000000000000000000000
0x3d4530082c3eb60f58af03f79b1ed3f40e591cd1,99879825618498174084020
0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,99454619378108351307046
